,name,icon_href,date,text,stars,answer
0,Владимир Самусев,https://avatars.mds.yandex.net/get-yapic/45848/rkk0sAWqkg2gaVfDLd8cf3Plo8-1/islands-68,2024-04-11 13:17:20,"Хорошее отделение, удобно расположено, отзывчивые сотрудники которые стараются помочь. 

Заходил несколько раз. Всегда быстро и четко обслуживали. Спасибо!",5,
1,Елена Калмыкова,,2024-01-26 06:50:59,"Была в этом отделении 26.01 очень понравилось обслуживание в данном отделении, сотрудники доброжелательны, компетентны и всегда рады помочь, Я пришла скачать приложение и мне быстро помогли, заряд на целый день. Спасибо большое",5,"Спасибо, нам очень приятно получать обратную связь 💛"
2,О.,https://avatars.mds.yandex.net/get-yapic/36777/PTqYZior2nTzZDb5RYP4DW8-1/islands-68,2023-12-01 07:49:49,"Спасибо сотруднице Дарье за качественное и доброжелательное обслуживание! Профессионал своего дела. Приятно получать услугу в банке, когда есть такие сотрудники. (01.12.2023, оф. Тургенева, г. Краснодар, клиент - Ольга Л.)",5,Благодарим за высокую оценку работы нашего сотрудника 💛
3,М.23,,2023-11-30 08:30:58,"К сотрудникам вопросов нет. Все спокойные, участливые, отзывчивые. Вопрос к самой организации и системе: почему-то нельзя сразу закрыть карту и счет (надо ходить дважды), мало сотрудников и слишком много посетителей. Приходится ждать своей очереди очень долго.",4,"Согласимся, вопрос очереди требует незамедлительного решения. Нам важно, чтобы каждый клиент мог решать вопросы без длительного ожидания. Дополнительно обратим внимание руководителя офиса на данную проблему и примем меры. Простите, пожалуйста, что заставили вас ждать.

Закрытие счета производим по заявлению в офисе, которое подается отдельно, спустя 10 дней после оформления заявления на закрытие карты.

Мы также реализовали возможность закрытия большинства карт в личном кабинете. Выбираем карту → нажимаем Ещё → Заблокировать карту навсегда."
4,Анна Косенко,,2023-12-28 13:07:19,"Удобное местоположкние , часто пользуюсь банкоматом, тут они всегда работают в отличие от торговых цетнров",5,"Спасибо, нам очень приятно получать обратную связь 💛"
5,Михаил,https://avatars.mds.yandex.net/get-yapic/40841/wqxf1G6qRAn1QyisTXFFedXzks-1/islands-68,2024-03-15 14:54:51,"Маленькое и душное посещение для достаточно загруженного центра города, а соответственно человекопотока. Отсутствует кассовое обслуживание. В остальном, обычное отделение банка.",4,Благодарим вас за обратную связь. Обратим внимание руководителя офиса на ваши замечания. Для нас важен ваш комфорт!
6,Евгений Сеник,,2024-02-01 15:01:19,"Хорошое отделение,обслуживание очень понравилась,Спасибо большое Довгалевой Дарье !Умничка",5,"Нам приятно, что вы поставили нам высокую оценку 👍 Постараемся и дальше ей соответствовать!"
7,Андрей Косьянов,https://avatars.mds.yandex.net/get-yapic/20706/enc-bce29cfc839b526422bad59c7dcf8d3b98eee9008467e0d4eb455d6405be2647/islands-68,2023-12-26 12:08:22,"Полнейшее отсутствие парковки, чтобы положить деньги через банкомат, нужно хорошо напрячься с поиском парковки, лучше найти другое отделение.",3,"Сожалеем, что данное обстоятельство стало причиной низкой оценки.
Приняли замечание к сведению."
8,Кирилл Ткаля,,2024-04-05 10:11:58,Всё прошло на высоте. Быстро все объяснили. Спасибо огромное консультанту Дарья,5,"Спасибо, что выбрали наш Банк. Уверены, что в будущем наше сотрудничество будет также исключительно положительным 👌"
9,Екатерина Махмудова,https://avatars.mds.yandex.net/get-yapic/37154/w5n2hygptqLwBIjRKil2OdPBeY-1/islands-68,2023-04-05 05:07:20,"Есть в этом отделении банка ВТБ очень грамотный, профессионал своего дела, специалист Александр (фамилию не помню). С каким вопросом к нему не придешь, все спокойно, грамотно, четко объяснит, такое ощущение, что побывал у хорошего психолога))). Он решает вопросы так, как будто у него есть в этом личная заинтересованность, как для себя! А это огромная редкость, спасибо ему!",5,"Екатерина, благодарим вас за уделенное время для написания отзыва с высокой оценкой и, конечно, нам приятно видеть, что помощь нашего специалиста взывает вас исключительно положительные эмоции 😉"
10,Максим С.,https://avatars.mds.yandex.net/get-yapic/43978/Gqcy7PqcmSzoDZ0m4RAbbMppBrI-1/islands-68,2023-11-14 17:31:56,"Неплохое отделение: сотрудники толковые, могут проконсультировать по любому вопросу. Очередей мало, и то только под вечер.",5,"Так приятно, что вы поставили нам высокую оценку 👍 Постараемся и дальше ей соответствовать!"
11,Наталья Кар,https://avatars.mds.yandex.net/get-yapic/30431/mBXTO5Uk5bcr9ijYXpQBgB94WY-1/islands-68,2023-05-26 12:48:53,"Заказала дебетовую карту на сайте. Пришло сообщение, что пора получить. Пришла, специалист сделала копию моего паспорта и началась какая-то непонятная суета. На мой вопрос «Сколько ещё по времени?» я получила ответ «Я не знаю». После уточняющих вопросов специалист сообщила, что она и сама не понимает, но теперь возникли какие-то ещё проверки. Я решила уйти и открыть карту в другом банке. Специалист меня поддержала в таком решении. Через некоторое время снова стали приходить сообщения, что карта готова и я могу придти получить. Я решила воздержаться от сотрудничества с таким несерьезном банком.",1,"Сожалеем, что у вас возникла такая ситуация при обслуживании в нашем Банке. Мы не оставим без внимания ваш отзыв и передадим его руководителю сотрудника для анализа. Надеемся на сотрудничество в дальнейшем."
12,Ольга Халюткина,,2023-03-08 18:00:31,"Никому не советую. Всегда очереди, не работают банкоматы. Увидела рекламу, что за оформление карты платят 1000, а мне как раз нужна была карта мир, чтобы положить деньги, пришла в офис простояла 40 мин в очереди. Карту выдали, но как оказалось, чтобы получить 1000, нужно было через интернет оформлять. Какого тогда я перлась в банк, стояла очереди?!. Ну ок. Карту получила. Подхожу к терминалам для пополнения, ни один из них карту не видит, на что менеджер отправил меня к другим банкоматам. В итоге, потрачена куча времени, карта не рабочая. Пришла в банк вернуть карту и закрыть счёт. И тут подвох. Сначала они закрывают карту, а через 2 недели счёт. Т. Е. снова идти в банк. Жесть. Связалась на свою голову.",1,"Поверьте, мы всегда стремимся быть лучше. Мы обязательно обсудим с руководителем офиса все детали, описанные в отзыве, и учтем ваши замечания. Примите, пожалуйста, наши извинения."
13,larisa esperova,,2023-12-16 17:49:39,Обслуживание клиентов достойное. Старательный персонал. Очередь электронная. Время ожидания не более 10 минут,5,"Спасибо, что поделились своими впечатлениями. Мы очень ценим обратную связь 💛"
14,Ренат Ренатович,,2024-03-13 12:40:37,"Небольшой обычный офис. 
Ждал недолго, персонал попался очень доброжелательный.",5,"Спасибо за положительный отзыв, нам очень приятно 👍"
