,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Расположение,Банкомат,Ремонт,График работы,Страхование,Ипотека,load_time
0,169265348199,Альфа-Банк,"Красная ул., 176/1, Краснодар",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-17:00, 'fri': 09:00-20:00, 'sat': 09:00-17:00, 'sun': выходной, ",45.045788,38.978780,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",62,48,82,93,80,,,,,2024-07-14 09:13:51
1,1688718057,Альфа-Банк,"ул. 1 Мая, 158, Краснодар",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-17:00, 'sun': выходной, ",45.055314,39.023112,"4,5",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",69,59,49,93,56,91,,,,2024-07-14 09:13:51
2,1008428784,Альфа-Банк,"ул. имени Тургенева, 107, Фестивальный микрорайон, Краснодар",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",45.052060,38.958784,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",71,47,49,83,82,,,,,2024-07-14 09:13:51
3,240049648484,Альфа-Банк,"ул. Красных Партизан, 525, Краснодар",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.049739,38.967505,"4,5",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",66,63,70,90,79,,,,,2024-07-14 09:13:51
4,1180569314,Альфа-Банк,"Красная ул., 124, Краснодар",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-19:00, 'sun': выходной, ",45.036114,38.975313,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",59,40,44,89,62,,40,13,,2024-07-14 09:13:51
5,74527019611,Альфа-Банк,"ул. Селезнёва, 134, Краснодар",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-17:00, 'sun': выходной, ",45.023170,39.042355,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",66,53,57,93,62,,,,,2024-07-14 09:13:51
6,180499219054,Альфа-Банк,"Ставропольская ул., 184, Краснодар",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",45.020602,39.013474,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",65,42,49,100,69,,54,,,2024-07-14 09:13:51
7,116687636390,Альфа-Банк,"ул. Митрофана Седина, 159, Центральный внутригородской округ, микрорайон Центральный, Краснодар",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной, ",45.036827,38.980909,"4,8",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",88,89,97,,76,,,,91,2024-07-14 09:13:51
8,223948406268,Альфа-Банк,"Промышленная ул., 4/3, п. г. т. Яблоновский",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",44.990701,38.950600,"4,2",['8 (800) 200-00-00Показать телефон'],"['http://vk.com/alfabank', 'https://ok.ru/alfabank', 'https://www.youtube.com/user/alfabankru']",75,39,,,,,,,,2024-07-14 09:13:51
9,114617284119,Альфа-Банк,"ул. Чапаева, 83, станица Динская",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.220108,39.223715,"4,5",['8 (800) 200-00-00Показать телефон'],"['http://vk.com/alfabank', 'https://ok.ru/alfabank', 'https://www.youtube.com/user/alfabankru']",89,78,100,,,,,,,2024-07-14 09:13:51
