,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Ипотека,Страхование,График работы,load_time
0,207304593332,Альфа-Банк,"ул. Вильгельма де Геннина, 31, Екатеринбург",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",56.792404,60.521351,"4,9",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",93,83,79,91,100,,,,2024-07-23 09:08:25
1,210757813545,Альфа-Банк,"Белореченская ул., 12А, Екатеринбург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",56.821026,60.567920,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",77,61,76,56,,,,,2024-07-23 09:08:25
2,197157133230,Альфа-Банк,"ул. 8 Марта, 10, Екатеринбург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",56.833703,60.599694,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",57,51,53,57,85,82,27,,2024-07-23 09:08:25
3,126057036045,Альфа-Банк,"ул. Крауля, 44, Екатеринбург",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",56.830478,60.560230,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",86,91,95,,100,,,,2024-07-23 09:08:25
4,1046227220,Альфа-Банк,"ул. 8 Марта, 194, Екатеринбург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",56.801445,60.611282,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",75,64,76,,89,,,,2024-07-23 09:08:25
5,75276657208,Альфа-Банк,"Генеральская ул., 8, Екатеринбург",alfabank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",56.841679,60.636525,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",78,67,74,64,,,,,2024-07-23 09:08:25
6,4886075019,Альфа-Банк,"ул. Горького, 7А, Екатеринбург",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-18:00, 'sun': выходной, ",56.842568,60.605311,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",80,69,82,,100,,,,2024-07-23 09:08:25
7,1226244982,Альфа-Банк,"ул. Сони Морозовой, 190, Екатеринбург",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",56.832359,60.625583,"4,5",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",82,76,76,,,,,,2024-07-23 09:08:25
8,1124266124,Альфа-Банк,"ул. Кузнецова, 2, Екатеринбург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",56.888033,60.610393,"4,6",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",75,64,74,,,,,,2024-07-23 09:08:25
9,152223420751,Альфа-Банк,"Уральская ул., 75, Екатеринбург",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",56.853848,60.638020,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",73,56,61,62,88,,,45,2024-07-23 09:08:25
