,name,icon_href,date,text,stars,answer
0,Виктория.,,2024-01-29 10:27:33,"Отличное отделение. Бываю там не часто, но каждый раз не теряю время. Не видела там долгих очередей. Всегда вежливый персонал, решают все вопросы быстро и профессионально. Сам банк мне тоже очень нравится, все чётко, ясно и по делу.",5,"Спасибо, нам очень приятно получать обратную связь 💛"
1,Лида Ульянова,https://avatars.mds.yandex.net/get-yapic/29310/RzaBftHLQGVnZcxyAXwUpXSMnXs-1/islands-68,2023-10-28 11:25:15,"Езжу туда по работе. Очередей нет. Отличный персонал, решает всё быстро и чётко. Удобное расположение, рядом автобусная остановка, как от метро так и до него.",5,Довольные клиенты - наша лучшая награда 👍
2,Михаил Черкасов,,2024-01-29 16:08:05,"Очень хорошее обслуживание, быстро решают вопросы, вежливые, компетентные сотрудники, особенно Павлова Евгения. От общения с сотрудниками, получил истинное удовольствие!",5,"Так приятно, что вы поставили нам высокую оценку и отметили работу сотрудника 👍"
3,Андрей Моторичев,https://avatars.mds.yandex.net/get-yapic/25817/hdPSd8l2n5hsaZcPT0nJVAFFGUw-1/islands-68,2023-12-25 17:32:09,"Нет очередей, приняли сразу же. Офис чистый, просторный. Обслуживают быстро.
Оформлял именную карту, заранее её заказывал, однако сходу найти её не смогли, начали оформлять новую, не именную. Пока выяснял, зачем я должен соглашаться с передачей моих данных в аутсорсинговые контакт-центры и с рассылкой рекламы партнерами банка, моя заказанная карта нашлась) в итоге соглашаться ни с чем не пришлось. Получил карту и довольный ушел.",4,Спасибо за обратную связь. Это помогает нам расти и развиваться 😊
4,Максим Омельченко,https://avatars.mds.yandex.net/get-yapic/42215/PBCDpn1BOooIAyePdyOOJhhNxI-1/islands-68,2024-03-19 14:42:19,"у них нет объявления о том кто сейчас выходит, надо постоянно смотреть на экран, мне позвонили на несколько минут и пока я говорил высветился мой номер, при этом т.к. не было объявления голосом, а на экран я в это время не смотрел, я пропустил, потом смотрю мой номер уже прошел и вызвали следующего человека, менеджеры сказали что делать берите номер и ждите свою очередь",1,"Благодарим вас за отзыв. Нам очень важно знать ваше мнение. Мы всегда стремимся к тому, чтобы быть лучше. Проведем работу в целях улучшения качества обслуживания."
5,Елена,,2023-12-28 13:48:03,"В отделении очень странно организовано обслуживание клиентов. Когда я пришла, работали 8 сотрудников. 2 из них - ответственные за обслуживание корпоративных клиентов. При этом обслуживали только одного клиента. Остальные 7 сотрудников общались между собой, занимались какими-то своими делами.",3,"Сожалеем, что обслуживание в нашем офисе доставило вам неудобства. Мы обязательно организуем проверку на основании ваших замечаний вместе с его руководителем и примем необходимые меры.
Благодарим вас за отзыв."
6,Ольга,https://avatars.mds.yandex.net/get-yapic/51169/xcftUaK3MY0e4YUQqTsovYlduGs-1/islands-68,2024-01-26 11:36:26,"вежливый и отзывчивый персонал, контактировала несколько раз с Марьяной, помогла и подсказала все что необходимо сделать в моей ситуации",5,Спасибо за отзыв. Ваш комфорт - наша основная задача 👌
7,Екатерина Глазова,https://avatars.mds.yandex.net/get-yapic/21493/enc-d0cf9d33631e22e664eb12034d36f815b5ea54e02f6c3a7c74a9b4320776e95a/islands-68,2023-12-20 11:11:50,"Каждый раз, когда я вынуждена как зарплатный клиент приезжать в это отделение по каким-то причинам, нужно потратить не менее получаса (!) в очереди. «Специалисты» заняты болтовней или «сидят» в телефонах (см. фото), и наплевать, что люди сидят в очереди. Если у тебя не Привилегия, то зачем торопиться. Когда собирается человек 15, начинают шевелиться",1,"Сожалеем, что обслуживание в нашем офисе доставило вам неудобства. Мы обязательно организуем проверку на основании ваших замечаний вместе с его руководителем и примем необходимые меры. Благодарим вас за отзыв."
8,Наталья Кораблева,https://avatars.mds.yandex.net/get-yapic/50595/Z88J0tTIxcglTOxBzaDNe1Njo-1/islands-68,2023-11-03 11:44:47,"Организовано оперативное, быстрое обслуживание. Конечно, время ожидания есть, но оно оптимально отрегулировпно",5,"Спасибо, мы стараемся! Приятно, что вы это оценили 😊"
9,Борис И.,,2024-01-30 08:25:31,"Впечатлен заботой и уважительным отношением, высоким профессиональным уравнением подготовки сотрудников. Советую обращаться в этот офис.",5,"Спасибо за отзыв. Мы любим и ценим наших клиентов, поэтому стремимся предоставлять им высококачественное обслуживание. Рады, что вы оценили это 😃"
10,Ольга Ларина,,2024-03-07 11:22:26,"Обслуживание операторов нормальное! Но!!! Не предупреждают, что касса на техническом перерыве! И получается, чтоб получить свои деньги, нужно ждать, пока пройдёт 30 минут их технического перерыва.... Прикрепляю фото, якобы всегда действующего технического перерыва, чтоб люди не теряли своё время!!!",3,"Действительно, график работы кассы может отличаться от графика работы офиса.

В ДО «Рублевский» касса работает:
пн-пт с 10:00 до 20:00
сб с 10:00 до 17:00
вс выходной
Тех. перерыв: 11:45-12:00; 14:00-14:30; 17:45-18:00.

Сожалеем, что данная особенность доставила вам неудобства.

Актуальную информацию о графике работы кассы в конкретном офисе можно уточнить по телефону горячей линии (1000 или 8(800)100-24-24) или в чате ВТБ Онлайн."
11,игорь якушев,https://avatars.mds.yandex.net/get-yapic/57243/tzOB0HWnBFWjfTsM5jhvEjUzeAw-1/islands-68,2024-01-26 13:21:53,"Проходной двор, часто не работает автомат по выдаче талонов, что приводит к конфликтам и озлобленности консультантов, мне отказали в обслуживании из-за отсутствия паспорта, хотя у меня были другие документы и смартфон с личным кабинетом ВТБ, а вопрос пустяковый. Лучше туда не обращаться.",2,"Благодарим за сигнал. Мы обязательно организуем проверку на основании ваших замечаний вместе с руководителем офиса и примем необходимые меры.

Дополнительно отметим, что обслуживание действительно производим при обращении клиента с паспортом."
12,Джон Малкович,,2024-01-29 08:10:54,"Хорошее отделение, сотрудники компетенты во всех вопросах и главное, каждая задача поставлена мною решается в кратчайшие сроки! Не сбавляйте темпы, господа!",5,"Спасибо, нам очень приятно получать обратную связь 💛"
