,name,icon_href,date,text,stars,answer
0,Игорь Андрющенко,https://avatars.mds.yandex.net/get-yapic/27274/4KWiY0fxIITTGjIjtT9oOL8LcQ-1573488292/islands-68,2024-01-24 08:16:07,"Хочу выразить огромную благодарность, самому лучшему банку России ВТБ24 по адресу Нахимовский проспект 11к1… Большое спасибо профессиональным старшим сотрудникам банка ВТБ24 за отличную работу и подготовку в подборке молодых профессиональных кадров и специалистов.. Как благодарный клиент банка, хочу выразить и оценить работу сотрудника банка - Сибашвили А. За грамотное и профессиональное разъяснение на все поставление мною вопросы, за доброе и внимательное отношение к простым клиентам банка. Побольше бы таких молодых и грамотных специалистов…Процветания и благополучия, самому лучшему банку ВТБ и их сотрудникам.",5,"Спасибо, нам очень приятно получать обратную связь 💛"
1,Андрей  Б.,,2023-10-20 07:58:29,"С 2023 года открыли счета в этом банке, по обслуживанию юридических лиц. Банком очень довольны, очень вежливый и приятный персонал по обслуживанию юридических лиц. Ребята знают своё дело и всегда помогают. Рядом с этим банком, находится наш офис. Так вот, были проблемы с установкой и в работе банк клиента. Сотрудник без вопросов пришёл к нам в офис и всё установил. Хочу сказать большое человеческое спасибо сотрудникам Илье,Максиму и Денису. Желаю им роста в их работе.Очень рекомендую данное отделение ВТБ банка.",5,"Так приятно, что вы поставили нам высокую оценку и отметили работу сотрудников 👍"
2,Алексей П,,2024-01-23 17:20:20,"Отличной офис, удобное расположение, все четко, быстро.
Отдельная благодарность Ананьевой Дарье, за качественное, профессиональное 
обслуживание. Все вопросы помогла решить в минимально короткое время. Рекомендую этот офис.",5,"Спасибо, нам очень приятно получать обратную связь 💛"
3,Екатерина Р.,,2023-10-25 15:59:57,"Клиент банка ВТБ уже более 10 лет! Всегда все четко! Качественное обслуживание, приветливое отношение к клиенту, минимальное время ожидания по любой операции. Неоднократно обращалась к Алиеву Алексею по вопросам обслуживания действующих продуктов и получения новых , всегда даст ответ на любой вопрос, предложит несколько вариантов для рассмотрения наиболее выгодных условий. Также особенная благодарность Заместителю директора ДО Римме Мамедкулиевой. Молодцы, так держать!!!",5,"Екатерина, спасибо, что доверяете нам! Постараемся и дальше соответствовать вашей пятёрке 💪"
4,Валерия Манина,https://avatars.mds.yandex.net/get-yapic/68143/hY1bBsdBghOvzsu7g0YE93wal4-1568817256/islands-68,2024-02-28 14:20:44,"Прекрасное отделение, 
хорошие, отзывчивые и грамотные сотрудники, которые готовы помочь в решении любых вопросов. Очень хочется поблагодарить сотрудницу Семенову Анастасию, спасибо за помощь в решении вопроса! Очень грамотная и отзывчивая сотрудница!спасибо еще раз! Успехов во всех начинаниях!",5,"Спасибо за положительный отзыв! Поверьте, мы это очень ценим 💙"
5,Елена Зуева,,2024-01-23 14:18:41,Хочу выразить огромную благодарность сотруднику банка ВТБ на Нахимовском 11 кор. 1 Ананьевой Дарье. Она очень грамотно и профессионально все мне обьяснила. Быстро и чётко помогла мне решить мою проблему. Побольше таких внимательных и вежливых сотрудников. Большое ей спасибо!,5,"Спасибо, нам очень приятно получать обратную связь 💛"
6,ser.mako1,,2023-10-18 10:08:22,"Удобное расположение офиса, обслуживаемся уже больше 12 лет в отделе юридических лиц. Сотрудники классные ребята, вежливые, тактические . Особая благодарность Максиму Чебакову за профессиональные качества!",5,Довольные клиенты - наша лучшая награда. Благодарим за высокую оценку работы нашего сотрудника 💛
7,Татьяна Разинкина,,2024-02-17 06:01:33,"Удобное расположение офиса у метро , радует своей доступностью. Приветствуюший персонал грамотно рассказал о преимуществах ""карты для жизни"", решив мой вопрос. Рекомендую данное заведение. Я осталась довольна.",5,"Спасибо, что оценили нас на 5 ⭐"
8,Валентина Азаркина,,2024-01-25 15:23:34,"Добрый день,хотелось выразить особую благодарность за квалифицированную помощь сотрудника банка на Нахимовском пр. ,Анну Сибашвили всегда встречает с улыбкой подскажет ,поможет быстро понятно для простого человека ,низкий поклон и побольше таких сотрудников вашему отделению банка. ,спасибо что вы есть!",5,Довольные клиенты - наша лучшая награда. Благодарим за высокую оценку работы нашего сотрудника 💛
9,Ирина Г.,,2023-10-23 13:21:43,"Два года обслуживаюсь в этом отделении как юр. и физ. лицо. Просто счастлива, что попала именно сюда. Здесь любой сотрудник готов помочь решить твой вопрос. Очень человеческое отношение к клиентам. Как то ребята даже помогли мне установить на мой ноутбук какую то программу. Спасибо за сотрудничество Илье и Денису. 
А мой персональный менеджер Наташа - вообще чудесный человек! В любое время дня и ночи она готова тебе помочь. Очень душевный человек и грамотный специалист. Спасибо Наташе огромное! 
Ещё два слова. Недавно моя сотрудница обращалась в это отделение со своим вопросом. Когда вернулась на работу, первое, что она сказала, было: ""Какие люди!"". Ей тоже очень понравились сотрудники банка. Она попросила написать от нее спасибо Наталье и Денису. Спасибо!",5,"Ирина, спасибо, что доверяете нам! Постараемся и дальше соответствовать вашей пятёрке 💪"
10,Инна Сонина,,2023-11-28 08:47:41,"Обратилась по открытию счета, специалист Дарья помогла все сделать быстро и оперативно, объяснила очень понятно, вежливо и доброжелательно. Рекомендую!.. мне все понравилось!…",5,"Инна, спасибо за такие приятные слова о работе нашего сотрудника. Всегда рады вам помочь 💪"
11,225301 Еськов,,2024-01-23 14:02:18,"Являюсь клиентом вашего банка с 2018года. Обращаюсь, что говориться редко, но метко. 23.01.24г. Обратился в отделение этого банка. Был приятно обрадован профессиональным подходом сотрудника Ананьевой Дарьи Алексеевны. За чекую формулировку по условиям кредита и вообщем за доброжелательный настрой. Большое спасибо за качественый подход в работе",5,"Спасибо, нам очень приятно получать обратную связь 💛"
12,Наталья Алейникова,,2023-10-27 09:51:38,"Уже не первый год облуживаусь в офисе ВТБ Нахимовский проспект . Мой личный менеджер Наталья . . Отличный профессионал с которым очень приятно общаться . Бруние филиала ВТБ доя себя не пасситриваю . 
Очень довольна обслуживанием которое я получаю в офисе на Нахимовском проспекте .",5,"Для нас очень важно, чтобы наша работа приносила вам только приятные впечатления. Постараемся и дальше вас радовать! Отдельное спасибо, что отметили работу конкретного сотрудника 👍"
13,Камышникова Ольга,,2023-10-26 16:52:04,"Благодарю сотрудников отделения банка ВТБ на Нахимовском проспекте д.11, в частности Заболотную Наталью Федоровну, за профессионализм, оперативность, внимательное отношение и доброжелательность! Всё грамотно разъяснит, ответит на все вопросы. Хотелось бы пожелать процветания и благополучия моему любимому банку ВТБ 24!",5,"Для нас очень важно, чтобы наша работа приносила вам только приятные впечатления. Постараемся и дальше вас радовать! Отдельное спасибо, что отметили работу конкретного сотрудника 👍"
14,Арилия P.,,2023-10-30 11:49:25,"Мне понравилось быть клиенткой этого отделения банка. Чистые красивые офисы, быстрая и слаженная работа. Отдельно хочу поблагодарить сотрудницу Дарью за отзывчивость, вежливость и качество обслуживания",5,"Для нас действительно важно, чтобы обслуживание в ВТБ приносило только положительные впечатления 😊 Постараемся и дальше соответствовать вашей высокой оценке 💪 Отдельно благодарим за то, что отметили работу конкретного специалиста!"
15,Адис Магомедмирзоев,https://avatars.mds.yandex.net/get-yapic/21377/enc-491c615d79f537b5a5f046742d44304f98eee9008467e0d4eb455d6405be2647/islands-68,2024-01-16 12:37:33,"Облуживала сотрудник Дарья. Дарья оказалась специалистом своего дела, всё сдела на высшем уровне. Специалист очень квалифицированный, выражаю слова благодарности. Спасибо ей большое.",5,"Спасибо за высокую оценку и за то, что отметили работу сотрудника 👍"
