,name,icon_href,date,text,stars,answer
0,николай иванов,,2024-04-07 18:05:22,"Приятное, чистое, современное отделение…так же и как работники, очень приятные и вежливые.
Особенно хочу подчеркнуть работу менеджера Чернавцевой Анастасии, уровень обслуживания пять звезд.
А так же благодарю менеджера Андриянову Ольгу за помощь в решении моих вопросов!!!",5,"Для нас очень важно, чтобы наша работа приносила вам только приятные впечатления. Постараемся и дальше вас радовать! Отдельное спасибо, что отметили работу конкретных сотрудников 👍"
1,Тихон Кудлай,https://avatars.mds.yandex.net/get-yapic/63032/t5UeAq7VL9zDs7aehPsqfPcgl4E-1/islands-68,2023-11-04 14:43:41,"Замечательное просторное и коиентоориентированное отделение, очаровательные специалисты помогут в решении любого вашего вопроса.
Очень рекомендую, в пику отделению у метро Раменки, где диаметрально противоположная ситуация, и местные барышни найдут к чему прикопаться и какой пункт инструкций использовать в ущерб клиенту.",5,"Очень приятно получить такую высокую оценку, спасибо 😊"
2,Aygiz,,2023-11-23 11:44:55,"Отличное отделение банка, отзывчивый персонал, всегда быстро и качественно выполняют свою работу, доволен обслуживанием.",5,"Приятно знать, что посещение нашего офиса вызвало у вас исключительно положительные эмоции 😉"
3,Маркет Плейс,https://avatars.mds.yandex.net/get-yapic/20749/DsylVbIxAokCvMjwcmcVlVl1l1Q-1/islands-68,2023-10-24 16:39:15,"В этом отделении имеется Касса, что для сделок очень удобно! Большой зал и удобное место ожидания! Рядом тц Фестиваль, где можно пообедать.",5,"Спасибо, нам очень приятно получать обратную связь 👍"
4,Лисафьев Владимир,https://avatars.mds.yandex.net/get-yapic/45566/CBaNfImsa7Em5XgiaBJZzWEtVOs-1/islands-68,2024-01-10 13:48:05,"Благодарю вашего консультанта по имени Яна, вежливая и отзывчивая, быстро помогла решить проблему, возникшую у клиента ВТБ ""Привилегия"".Спасибо.Лисафьев Владимир.",5,"Спасибо, что нашли время оставить отзыв. Приятно видеть, что помощь нашего сотрудника вызвала у вас исключительно положительные эмоции!"
5,Анна Мацюк,https://avatars.mds.yandex.net/get-yapic/21377/enc-1f4a047222a384122447fe6efc2314c6e78d40fd37be81f6ca2113571bb9b0cd/islands-68,2023-10-19 19:39:04,"Странная концепция банка - отделение есть, но только для випов. То есть ты обычный клиент - тебе обслуживание не светит. Сделайте отдел по работе с клиентами - даже небольшой. Это очень неудобно, когда у тебя как у клиента проблема, а тебя разворачивают, потому что в этом банке у тебя нет миллионов на счету! Дискриминация в чистом виде!",1,"Данное отделение банка обслуживает только клиентов пакета ""Привилегия"". Рекомендуем обратиться в соседние отделения."
6,NikTaraskin,https://avatars.mds.yandex.net/get-yapic/39803/enc-c22e6561ded22cb61ccdd7e580cdbe9bf24874f4dc922b4eb50b455107676f1a/islands-68,2023-11-02 10:43:32,"Оказывается данное отделение только для ""ПРИВИЛЕГИРОВАННЫХ"" клиентов, остальные проходите мимо...
Нужно было лишь актуализировать паспортные данные, но нет - вам здесь не рады, езжайте в другие отделения.
Самое противное в том, что в отделении на тот момент не было ни одного посетителя, от слова совсем! 
Ваша заслуженная ЕДИНИЦА, так держать!",1,"Сожалеем, что возникла такая ситуация. Офис действительно обслуживает только держателей пакета «Привилегия». Информация об этом на данном сервисе указана.

Формат работы отделения можно также уточнить перед посещением на нашем сайте: vtb.ru/about/offices или по звонку в контактный центр по номеру телефона 8 800 100-24-24 или 1000 с мобильного.

Приносим извинения за возможные неудобства."
7,Victoria Zorina,https://avatars.mds.yandex.net/get-yapic/40841/fZwo7t8e3huGpjhiZLuTEJKwk8-1/islands-68,2023-12-02 16:49:57,"Обслуживание нормальное, отделение хорошее. Проблема в том, что зимой крыльцо очень скользкое, коврики далеко, и упасть на пороге ничего не стоит (со мной так и произошло сегодня). Пожалуйста, подвиньте их поближе или постелите что-то, можно и ногу сломать.",3,Спасибо за сигнал. Обратим внимание руководителя офиса на ваши замечания. Приносим извинения за возможные неудобства.
8,Екатерина Д.,,2024-02-17 12:20:00,"Не обслуживают обычных клиентов банка, только ""привилегию"". Об этом нигде не написано, просто вы приедете и потратите своё время. Я лично мама в декрете, шла в ближайшее отделение по пустяковому вопросу, который не могут решить на горячей линии. Отправили в другие отделения, а у меня на это нет времени. Вопрос так и не решила, хотя отделение пустое и народу никого",2,"Нам очень жаль, что у вас сложилось негативное впечатление о Банке. ДО «Олимпийский» - отделение премиального обслуживания, здесь осуществляется обслуживание клиентов с пакетом «Привилегия».

Данная информация размещена в открытом доступе на нашем сайте online.vtb.ru/map/offices/, а также на данном сервисе в разделе «Особенности».

Приносим извинения за возможные неудобства!"
9,Руслан М.,https://avatars.mds.yandex.net/get-yapic/63032/ccyeIabiRWgvuZ8SiwdEGnxplDw-1/islands-68,2023-08-06 13:14:31,"Вежливые и знающие свое дело сотрудники, всегда в хорошем настроении, с большим позитивом и приятным общением. Желаю всем сотрудникам этого отделения успехов и отличного настроения!",5,"Здравствуйте!
Спасибо, что уделили время и оставили отзыв! Приятно видеть, что помощь наших специалистов вызвала у вас положительные эмоции 😊"
10,Nankka,https://avatars.mds.yandex.net/get-yapic/36689/enc-669ea48badff5f2bdadb83f844ca3ba8906b34197d53518395b22861079b9f40/islands-68,2024-02-03 07:22:40,Досадно. Шла по морозу и меня развернули. 10:19 в отделении 3 сотрудника общаются между собой. И ни души! Ни одного клиента. Что ж прощание с ВТБ быстрым не получилось. Но теперь точно прощаемся!!! И верните деньги моего мужа! Было распоряжение Путина заблокировать счета частных иностранных инвесторов и эти деньги вернуть инвесторам резидентам РФ. Другой банк распоряжение исполнил.,1,
11,Serega M.,https://avatars.mds.yandex.net/get-yapic/47747/iI5dSOsfe7UmkuG1nkjS6dWUKU-1/islands-68,2022-12-11 09:49:41,"Банк норм. Персонал вежливый. Внутри чисто , аккуратно, народу мало бывает. Стараются всем помочь. В доль дороги парковка , рядом тц есть , если что там можно припарковаться, поесть , закупиться....рекомендую.",5,"Рады, что вам понравилось. Ждем вас снова 😃"
12,Анастасия Т.,https://avatars.mds.yandex.net/get-yapic/58107/dfhfJ7cYiw8SMbwq5a6udzVBSc-1569471230/islands-68,2024-02-14 22:54:56,"Хорошее отделение, вежливые сотрудники, помогли быстро и оперативно решить мою проблему.",5,"Благодарим за отзыв! Рады, что вы остались довольны. Приходите ещё 💙"
13,Даниил Б.,https://avatars.mds.yandex.net/get-yapic/30061/enc-17f3af7663cf9f827405810d119b487f806798b8d6bd0e173a813d8949cf813c/islands-68,2024-02-13 13:40:36,"Спасибо, обслуживание на вашем уровне, приятный и улыбчивый коллектив, готовые помочь)",5,Ваш положительный отзыв – наша лучшая награда 👍
