,name,icon_href,date,text,stars,answer
0,Марина Т.,,2024-01-24 14:49:07,"Добрый день! Хочу выразить свою благодарность команде ДО Московский в лице директора Витушкиной Кристины Валерьевны и администратора зала Малякиной Екатерины . Сотрудники оперативно помогли решить мне, находясь в другом городе,вопрос переоформления вкладов,как клиенту привилегия. Работа таких сотрудников несомненно повышает привлекательность работы банка ВТБ. Спасибо за работу!",5,"Для нас очень важно, чтобы наша работа приносила вам только приятные впечатления. Постараемся и дальше вас радовать! Отдельное спасибо, что отметили работу конкретного сотрудника 👍"
1,Валерий Николаевич,,2024-04-02 19:29:45,"Вчера с женой (мы пенсионеры) посетили отделение банка. Самые положительные впечатления от общения с директором Кристиной Валерьевной и менеджером Иваненко Данилой Ивановичем. Оперативно, доходчиво и доброжелательно помогли с открытием счета. Работали с нами сверх рабочего времени, так как мы прибыли в офис незадолго до закрытия. Будем рекомендовать нашим знакомым. Спасибо!",5,Благодарны вам за пятёрку и добрые слова о работе наших сотрудников 💙
2,Татевик Абраамян,,2024-02-01 09:48:40,"Добрый день, благодарим за обслуживание и клиентоориентированность. Сотрудники максимально помогли перекредитоваться и сохранить бюджет. Спасибо за помощь и содействие директору офиса Кристине Валерьевне. Очень рады обращению, будем рекомендовать знакомым и друзьям",5,"Нам приятно, что вы поставили нам высокую оценку 👍 Постараемся и дальше ей соответствовать!"
3,Светлана К,https://avatars.mds.yandex.net/get-yapic/63032/PeBKZJaYBd9jVZBESAFzsF1L10-1/islands-68,2024-03-27 10:44:52,"Перестало работать приложение, обратилась в этот офис. Быстро помогли все настроиться и ответили на мои вопросы. Была большая очередь, но достаточно оперативно обслуживали клиентов и не пришлось долго ждать. Спасибо ☺️",5,"Для нас очень ценно то, что вы остались довольны визитом к нам и поставили столь высокую оценку нашей работе. Постараемся и в дальнейшем радовать вас 🙂"
4,Мирослава А.,https://avatars.mds.yandex.net/get-yapic/29310/1hSeyqVIiGUruv6aZzyHXkqQQ5s-1/islands-68,2023-08-17 09:01:48,"Добрый день! Вчера с мужем были в отделении банка ВТБ по адресу 3 микрорайон , стр.9-А, г. Московский , Москва, очень понравилась обстановка , уютный офис , приветливый персонал , особенно хочется отметить работу менеджера Аркади Асланяна , подробная консультация по кредиту , ни чего лишнего не было навязано , спокойно ответил на все интересующие вопросы и за короткое время оформил кредит по заниженной ставке , спасибо большое !",5,Спасибо за приятный отзыв. Довольные клиенты - наша лучшая награда 👍
5,Татьяна Вишнякова,,2023-10-25 10:19:02,"Приятно, что работают такие специалисты как Якимова Олеся Николаевна. Милая и приветливая девушка. Квалифицированный специалист. Спасибо ей.",5,"Так приятно, что вы поставили нам высокую оценку и отметили работу сотрудника 👍"
6,Рамиль Незаметдинов,,2024-03-19 16:02:06,"Компетентные специалисты, очень грамотно проконсультировали и помогли разобраться в имеющихся вопросах. Очень вежливо и доброжелательно.",5,Спасибо за высокую оценку нашей работы!
7,Мурад Г.,,2024-02-01 07:56:23,"Добрый день сегодня был в отделении , очень понравилось обслуживание всё что нужно подробно объяснили, огромная благодарность сотруднику Олеся Якимовне за обслуживание",5,"Спасибо за отзыв 💛 Мы стремимся предоставлять нашим клиентам качественное обслуживание. Рады, что вы оценили это 😃"
8,Алексей В.,https://avatars.mds.yandex.net/get-yapic/60687/cjJfzEwPOdSH5GpPJ0XaB9SNI-1/islands-68,2024-02-02 15:59:38,"Офис небольшой, уютный, сотрудники быстро работают, благодарю Евгению Крючкову, очень быстро, внимательно, в полном объёме решила мой вопрос. Рекомендую",5,"Очень приятно получить высокую оценку, спасибо 😊"
9,Илхом Ходикназаров,,2024-02-01 12:49:58,"Отличный банк. Оператор Евгения ответсвенная, грамотная вежливая. Знает свою работу отлично. Я очень довольный обслуживание. Спасибо",5,"Нам приятно, что вы поставили нам высокую оценку 👍 Постараемся и дальше ей соответствовать!"
10,Юрий Василенко,,2024-02-02 10:19:29,"Очень понравилось в офисе. Решили мою проблему быстро, качественно!!! В офисе работают действительно профессионалы своего дела.",5,"Приятно видеть, что посещение нашего офиса вызвало у вас положительные эмоции 😉"
11,Антон Олек,https://avatars.mds.yandex.net/get-yapic/23134/enc-e99ed3ee9bea774cfd757eadbeb8ba5d/islands-68,2024-02-16 15:37:38,"Рядом с домом, самое главное, уютный небольшой офис. Всегда помогут разобраться с любой ситуацией, есть банкомат.",5,"Спасибо, что уделили время и оставили отзыв. Нам приятно видеть, что посещение офиса вызвало у вас исключительно положительные эмоции 👍"
12,Анатолий Я.,,2023-08-11 09:08:48,"Мне кажется это лучший банк из банков ВТБ! Самый вежливый и отзывчивый персонал. Удобнейшее расположение офиса, просто супер. Но пожалуйста, увеличьте окна, добавьте обслуживание юридических лиц, ипотечное обслуживание, а не только оформление.",5,"Спасибо, что доверяете нам! Постараемся и дальше соответствовать вашей пятёрке 💪
Замечание приняли во внимание."
