,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Обслуживание,Отношение к клиентам,Время ожидания,Банкомат,График работы,Расположение,load_time
0,1209542396,СберБанк,"Большевистская ул., 4, посёлок Карагайлинский",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:00,14:00-17:45, 'wed': 08:30-13:00,14:00-17:45, 'thu': 08:30-13:00,14:00-17:45, 'fri': 08:30-13:00,14:00-17:45, 'sat': 08:30-13:00, 'sun': выходной",54.148343,86.609118,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-23 05:28:11
1,1268080222,СберБанк,"Союзная ул., 51, Прокопьевск",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:00,14:00-18:00, 'wed': 08:30-13:00,14:00-18:00, 'thu': 08:30-13:00,14:00-18:00, 'fri': 08:30-13:00,14:00-18:00, 'sat': 09:00-14:30, 'sun': выходной",53.946763,86.733140,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,92,92,54,,,,2024-06-23 05:28:11
2,1256302772,СберБанк,"Студенческая ул., 10, Киселёвск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",54.005538,86.706711,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,81,85,,28,0,,2024-06-23 05:28:11
3,1194468036,СберБанк,"просп. Гагарина, 28, Прокопьевск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:00, 'sun': выходной",53.872406,86.642437,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,86,87,80,77,,100,2024-06-23 05:28:11
4,93836385383,СберБанк,"ул. 50 лет Города, 27А, Киселёвск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-14:30, 'sun': выходной",53.999361,86.550340,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",77,71,76,60,,,,2024-06-23 05:28:11
5,1083655986,СберБанк,"Центральная ул., 30, село Терентьевское",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,14:00-17:00, 'wed': 09:00-13:00,14:00-17:00, 'thu': выходной, 'fri': 09:00-13:00,14:00-17:00, 'sat': 09:00-13:00, 'sun': выходной",54.093351,86.946283,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-23 05:28:11
6,1140137880,СберБанк,"просп. Гагарина, 3, Прокопьевск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:30-13:30, 'sun': выходной",53.871803,86.656174,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,82,85,68,71,,,2024-06-23 05:28:11
7,4432171923,СберБанк,"ул. Есенина, 102, Прокопьевск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной",53.876552,86.610592,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-23 05:28:11
8,1096740311,СберБанк,"Комсомольская ул., 20, п. г. т. Краснобродский",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной",54.162410,86.445409,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,100,100,,,,,2024-06-23 05:28:11
9,1093002557,СберБанк,"Промышленная ул., 3, Киселёвск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-13:30, 'sun': выходной",54.003352,86.631881,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",86,82,75,67,,,,2024-06-23 05:28:11
