,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,load_time
0,sberbank/1104873754,СберБанк,"Выборная ул., 125/1, Новосибирск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.003534,83.021310,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",78,50,,,,2024-08-06 10:14:22
1,sberbank/1081452327,СберБанк,"ул. Гидростроителей, 7, Советский район, микрорайон Шлюз, Новосибирск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.848338,83.045161,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,86,,,,2024-08-06 10:14:22
2,sberbank/1143901419,СберБанк,"Комсомольская ул., 10, Кировский район, Северо-Чемской жилмассив, Новосибирск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",54.957475,82.964537,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,67,72,95,70,2024-08-06 10:14:22
3,sberbank/1030832507,СберБанк,"ул. Сибиряков-Гвардейцев, 50, Новосибирск",www.sberbank.ru,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': выходной, 'sun': выходной, ",54.963305,82.900550,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,67,58,80,,2024-08-06 10:14:22
4,sberbank/1284564377,СберБанк,"ул. Лыкова, 7, Советский район, микрорайон Академгородок, Новосибирск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",54.860913,83.084141,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,65,75,69,,2024-08-06 10:14:22
5,sberbank/1114048734,СберБанк,"ул. 40 лет Комсомола, 5, Новосибирск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",54.859046,82.980536,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,61,35,,,2024-08-06 10:14:22
6,sberbank/1171670447,СберБанк,"ул. Зорге, 269, Кировский район, Затулинский жилмассив, Новосибирск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",54.933993,82.923134,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",81,47,8,,,2024-08-06 10:14:22
7,sberbank/1021007845,СберБанк,"ул. Титова, 27, Новосибирск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",54.981118,82.870411,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,71,30,82,,2024-08-06 10:14:22
8,sberbank/1093768325,СберБанк,"ул. Демакова, 20, Советский район, микрорайон Академгородок, Новосибирск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.863228,83.109301,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,64,60,,9,2024-08-06 10:14:22
9,sberbank/209209242957,СберБанк,"ул. Сибиряков-Гвардейцев, 62, Новосибирск",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",54.939254,82.896417,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",98,83,91,,,2024-08-06 10:14:22
10,sberbank/1013009171,СберБанк,"просп. Карла Маркса, 14, Новосибирск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",54.985829,82.901457,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",89,80,,,,2024-08-06 10:14:22
