,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Персонал,Отношение к клиентам,Время ожидания,Банкомат,Расположение,График работы,Кредит,Ипотека,Ремонт,load_time
0,1068303776,СберБанк,"ул. Ленина, 168В, Батайск",www.sberbank.ru,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 08:30-15:00, 'sun': выходной",47.117477,39.747038,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,88,88,81,69,100,,,,,2024-06-21 14:28:03
1,145088095910,СберБанк,"ул. Луначарского, 180В, Батайск",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-15:00, 'sun': выходной",47.132891,39.738275,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,87,89,85,80,93,,,,,2024-06-21 14:28:03
2,1244972296,СберБанк,"ул. Кирова, 34, Батайск",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-15:00, 'sun': выходной",47.137874,39.746234,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,84,81,76,61,95,67,,,,2024-06-21 14:28:03
3,1206442280,СберБанк,"Рабочая ул., 77, Батайск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной",47.140227,39.746302,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,76,70,60,61,87,,43,58,,2024-06-21 14:28:03
4,1250514849,СберБанк,"14, микрорайон Авиагородок, Батайск",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-18:30, 'wed': 08:00-18:30, 'thu': 08:00-18:30, 'fri': 08:00-18:30, 'sat': 08:30-15:00, 'sun': выходной",47.126417,39.782577,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,84,75,56,13,,,,,,2024-06-21 14:28:03
5,227959543804,СберБанк,"Ворошиловский просп., 87/65, Ростов-на-Дону",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.228847,39.714681,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,81,76,65,71,95,,46,64,,2024-06-21 14:28:03
6,220139300161,СберБанк,"просп. 40-летия Победы, 79, Ростов-на-Дону",www.sberbank.ru,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-16:00, 'sun': выходной",47.238442,39.823614,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,78,80,57,52,92,,,,69,2024-06-21 14:28:03
7,1040538270,СберБанк,"Коммунистический просп., 27, микрорайон Западный, Ростов-на-Дону",www.sberbank.ru,"'mon': 08:00-18:30, 'tue': 08:00-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной",47.207456,39.631541,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,74,70,47,83,91,73,,,80,2024-06-21 14:28:03
8,166373240123,СберБанк,"Ворошиловский просп., 65/102, Ростов-на-Дону",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:30, 'sun': 09:00-15:00",47.225310,39.717007,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",65,67,62,65,75,94,58,,,95,2024-06-21 14:28:03
9,1100022934,СберБанк,"Красноармейская ул., 122, Ростов-на-Дону",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 10:00-15:00, 'sun': выходной",47.226032,39.705410,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,88,82,71,81,93,,,,,2024-06-21 14:28:03
