,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,Кредит,Ремонт,load_time
0,1257821341,СберБанк,"ул. Некрасова, 12, Балашиха",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной",55.791747,37.971233,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,76,76,61,49,97,30,,,,2024-06-25 09:19:35
1,1026502090,СберБанк,"просп. Ленина, 47, Балашиха",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной",55.797483,37.947552,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,73,74,65,60,89,57,73,78,,2024-06-25 09:19:35
2,116580378923,СберБанк,"Советская ул., 6/17, Балашиха",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-16:00, 'sun': выходной",55.797523,37.934823,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",70,70,72,61,52,94,,,,,2024-06-25 09:19:35
3,1658248251,СберБанк,"Октябрьская ул., 33, микрорайон Железнодорожный, Балашиха",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной",55.751502,37.998107,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,80,81,76,62,86,23,,,,2024-06-25 09:19:35
4,1052606493,СберБанк,"Пролетарская ул., 5, микрорайон Железнодорожный, Балашиха",www.sberbank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:30-18:30, 'sun': выходной",55.747988,38.009449,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",70,71,74,52,57,91,76,,38,,2024-06-25 09:19:35
5,1186173855,СберБанк,"ул. Объединения, 7/27, Балашиха",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-17:00, 'sun': выходной",55.826385,37.970442,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",72,69,74,71,86,92,81,,31,,2024-06-25 09:19:35
6,1136729637,СберБанк,"Юбилейная ул., 2, корп. 1, микрорайон Железнодорожный, Балашиха",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-15:30, 'sun': выходной",55.741879,38.016395,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,67,69,52,64,78,55,56,43,,2024-06-25 09:19:35
7,1115218846,СберБанк,"ул. 40 лет Победы, 1, Балашиха",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",55.814482,37.967361,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,82,84,69,52,92,9,,,,2024-06-25 09:19:35
8,95915342913,СберБанк,"28, микрорайон Гагарина, Балашиха",www.sberbank.ru,"'mon': выходной, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-15:30, 'sun': выходной",55.823803,37.929172,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,75,78,70,39,92,36,,,,2024-06-25 09:19:35
9,1669299352,СберБанк,"просп. Героев, 6, микрорайон Железнодорожный, Балашиха",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-14:00, 'sun': выходной",55.741381,38.002073,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,73,76,71,39,88,21,,,,2024-06-25 09:19:35
