,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,sberbank/139342182959,СберБанк,"ул. Стофато, 12А, Абакан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.698256,91.401604,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 18:07:20
1,sberbank/1612348941,СберБанк,"ул. Пушкина, 50, Абакан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.718621,91.454937,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,54,,,2024-08-04 18:07:20
2,sberbank/1661772449,СберБанк,"ул. Чертыгашева, 102, Абакан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.725531,91.447552,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,82,,,2024-08-04 18:07:20
3,sberbank/142447951722,СберБанк,"просп. Дружбы Народов, 27, Абакан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:00, 'sun': выходной, ",53.739386,91.428697,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,71,45,,2024-08-04 18:07:20
4,sberbank/2432536431,СберБанк,"просп. Дружбы Народов, 2, Абакан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.736280,91.440402,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,83,,,2024-08-04 18:07:20
5,sberbank/1161818125,СберБанк,"ул. Ванеева, 7, Минусинск",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",53.690809,91.674890,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,80,50,,2024-08-04 18:07:20
6,sberbank/1571410272,СберБанк,"ул. Ленина, 80, село Белый Яр",,"'mon': 08:30-16:45, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': 08:30-16:45, 'fri': 08:30-16:45, 'sat': выходной, 'sun': выходной, ",53.599897,91.380853,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 18:07:20
7,sberbank/1090830408,СберБанк,"Штабная ул., 10, Минусинск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.707473,91.696548,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,80,,,2024-08-04 18:07:20
8,sberbank/1549704242,СберБанк,"Абаканская ул., 61, Минусинск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.688201,91.662106,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,64,,,2024-08-04 18:07:20
9,sberbank/56547607203,СберБанк,"Спортивная ул., 2, рабочий посёлок Усть-Абакан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.817680,91.404577,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 18:07:20
10,sberbank/1589596890,СберБанк,"Советская ул., 37, Черногорск",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",53.824356,91.296635,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,81,,100,2024-08-04 18:07:20
11,sberbank/1544531165,СберБанк,"ул. Журавлёва, 2, городской посёлок Зелёный Бор",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.621698,91.624566,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 18:07:20
