,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,График работы,Ипотека,Кредит,load_time
0,sberbank/1055110223,СберБанк,"Советская ул., 40, микрорайон Первомайский, Королёв",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.941707,37.867331,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,72,27,90,100,,,,2024-07-29 04:50:05
1,sberbank/232963480833,СберБанк,"Хлебозаводская ул., 30, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.971849,37.937409,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,59,74,,95,43,,,2024-07-29 04:50:05
2,sberbank/1177691513,СберБанк,"Юбилейная ул., 3, корп. 1, Мытищи",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",55.915165,37.722720,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,61,40,78,89,18,,,2024-07-29 04:50:05
3,sberbank/1040448865,СберБанк,"Новомытищинский просп., 5, корп. 1, Мытищи",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.915685,37.749957,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,60,68,,91,50,60,44,2024-07-29 04:50:05
4,sberbank/1054108376,СберБанк,"Вокзальная площадь, 2, Мытищи",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",55.913308,37.761922,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,73,18,,92,5,,,2024-07-29 04:50:05
5,sberbank/1153685529,СберБанк,"ул. Тихонравова, 36, микрорайон Юбилейный, Королёв",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.936757,37.846338,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,66,42,,87,31,,,2024-07-29 04:50:05
6,sberbank/1192524051,СберБанк,"ул. Гагарина, 12/14, Королёв",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.917022,37.805760,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,58,20,,95,9,,,2024-07-29 04:50:05
7,sberbank/1337817752,СберБанк,"8, микрорайон Богородский, Щёлково",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.939020,37.974266,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,39,11,,82,33,,,2024-07-29 04:50:05
8,sberbank/239733005998,СберБанк,"Пролетарский просп., 1-1А, Щёлково",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",55.913636,37.993257,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",89,49,48,,,27,,,2024-07-29 04:50:05
9,sberbank/1056708824,СберБанк,"Студенческий пр., 2, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:30, 'sun': выходной, ",55.977410,37.907198,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,63,82,,97,77,77,75,2024-07-29 04:50:05
10,sberbank/110976892300,СберБанк,"2-я Институтская ул., 18, Мытищи",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 08:30-15:00, 'sun': выходной, ",55.930080,37.791244,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,72,17,,,0,,,2024-07-29 04:50:05
11,sberbank/1201572576,СберБанк,"просп. Королёва, 5Д, Королёв",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.921869,37.844055,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,58,47,,95,,,,2024-07-29 04:50:05
