,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,График работы,load_time
0,1133057041,СберБанк,"ул. Кирова, 74/2, Артём",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': выходной, 'thu': выходной, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",C43.36211,132.21189,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,88,90,81,50,70,,2024-06-23 05:12:26
1,111397522919,СберБанк,"Русская ул., 59/2, Владивосток",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:30, 'sun': выходной",C43.16939,131.92509,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",77,80,79,67,73,95,,2024-06-23 05:12:26
2,1014406918,СберБанк,"ул. Пушкина, 43, село Вольно-Надеждинское",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной",C43.37262,131.98928,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",96,94,94,83,,,,2024-06-23 05:12:26
3,107209729698,СберБанк,"Школьный пер., 26, п. г. т. Смоляниново",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,14:00-16:45, 'wed': 09:00-13:00,14:00-16:45, 'thu': 09:00-13:00,14:00-16:45, 'fri': 09:00-13:00,14:00-16:45, 'sat': 09:00-13:00,14:00-16:30, 'sun': выходной",C43.28147,132.45246,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-23 05:12:26
4,1106281084,СберБанк,"ул. Фрунзе, 49/1, Артём",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной",C43.35410,132.17090,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,83,83,61,59,71,,2024-06-23 05:12:26
5,1050767500,СберБанк,"ул. Котовского, 1А, посёлок Раздольное",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:30-12:30,13:30-16:15, 'sat': выходной, 'sun': выходной",C43.54478,131.89923,"1,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-23 05:12:26
6,1000343188,СберБанк,"Советская ул., 45А, п. г. т. Шкотово",www.sberbank.ru,"'mon': 09:00-12:00,13:00-17:30, 'tue': 09:00-12:00,13:00-17:30, 'wed': 09:00-12:00,13:00-17:30, 'thu': 09:00-12:00,13:00-17:30, 'fri': 09:00-12:00,13:00-17:30, 'sat': выходной, 'sun': выходной",C43.32231,132.35728,"3,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,2024-06-23 05:12:26
7,1002314946,СберБанк,"ул. Лермонтова, 75, посёлок Трудовое",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной",C43.30021,132.06389,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,89,90,73,71,94,90,2024-06-23 05:12:26
8,92391935432,СберБанк,"ул. Ленина, 15/1, Артём",www.sberbank.ru,"'mon': 09:00-12:00,13:00-17:45, 'tue': 09:00-12:00,13:00-17:45, 'wed': 09:00-12:00,13:00-17:45, 'thu': 09:00-12:00,13:00-17:45, 'fri': 09:00-12:00,13:00-17:45, 'sat': выходной, 'sun': выходной",C43.46473,132.28789,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-23 05:12:26
9,1085260084,СберБанк,"ул. Кирова, 14А, Артём",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:30, 'sun': выходной",C43.35563,132.17827,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,79,81,50,84,89,,2024-06-23 05:12:26
10,1080212086,СберБанк,"просп. 100-летия Владивостока, 150В, Владивосток",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-16:00, 'sun': выходной",C43.18034,131.92038,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,70,86,74,,80,,2024-06-23 05:12:26
