,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ремонт,Кредит,Ипотека,load_time
0,sberbank/1034822830,СберБанк,"Февральская ул., 54, Пятигорск",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",44.038312,43.035779,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",88,68,83,81,,,,,2024-07-29 15:14:42
1,sberbank/32147006678,СберБанк,"просп. 40 лет Октября, 56Б, Пятигорск",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-16:30, 'sun': выходной, ",44.041876,43.063968,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,56,53,96,70,80,,,2024-07-29 15:14:42
2,sberbank/1027527150,СберБанк,"просп. Кирова, 59, Пятигорск",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-16:30, 'sun': выходной, ",44.035746,43.067875,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,69,46,84,,,,,2024-07-29 15:14:42
3,sberbank/1131578165,СберБанк,"Украинская ул., 48А, Пятигорск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.049755,43.040666,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:14:42
4,sberbank/1126577006,СберБанк,"ул. Панагюриште, 4, Пятигорск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",44.054912,43.064740,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,74,84,100,,,,,2024-07-29 15:14:42
5,sberbank/1079994317,СберБанк,"ул. Орджоникидзе, 21, Пятигорск",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-16:00, 'sun': 09:00-15:00, ",44.060418,43.063124,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,65,35,88,33,,75,92,2024-07-29 15:14:42
6,sberbank/1027922461,СберБанк,"ул. Бунимовича, 13, Пятигорск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",44.030198,43.071002,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:14:42
7,sberbank/240381619760,СберБанк,"ул. Акопянца, 11, Пятигорск",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-20:00, 'fri': 08:30-19:00, 'sat': 08:30-16:30, 'sun': выходной, ",44.042776,43.064480,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-07-29 15:14:42
8,sberbank/1016884084,СберБанк,"ул. Ленина, 30, посёлок Горячеводский",www.sberbank.com,"'mon': 08:00-16:30, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': выходной, 'sun': выходной, ",44.029776,43.100440,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,46,,,,,,,2024-07-29 15:14:42
9,sberbank/1034187432,СберБанк,"просп. Калинина, 5Б, Пятигорск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной, ",44.056700,43.068163,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:14:42
10,sberbank/1114316640,СберБанк,"Подстанционная ул., 17, Пятигорск",www.sberbank.com,"'mon': 09:00-15:00, 'tue': 09:00-15:00, 'wed': 09:00-15:00, 'thu': выходной, 'fri': 09:00-15:00, 'sat': выходной, 'sun': выходной, ",44.074720,43.089723,"3,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:14:42
11,sberbank/190158685498,СберБанк,"ул. Ленина, 25, село Винсады",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:00-15:45, 'sat': 08:00-13:30, 'sun': выходной, ",44.081098,42.962953,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:14:42
