,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,1075458323,СберБанк,"Игнатьевское ш., 13, Благовещенск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной",C50.29478,127.51581,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,85,87,85,72,89,2024-06-21 15:17:53
1,1125265722,СберБанк,"ул. Калинина, 140, Благовещенск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной",C50.29956,127.52791,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,79,85,84,,,2024-06-21 15:17:53
2,1096977650,СберБанк,"Кольцевая ул., 34, микрорайон КПП, Благовещенск",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",C50.30263,127.55011,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,90,91,76,,100,2024-06-21 15:17:53
3,1109090696,СберБанк,"Пионерская ул., 12, Благовещенск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной",C50.25996,127.53060,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,80,85,70,75,100,2024-06-21 15:17:53
4,60427711890,СберБанк,"1, посёлок Моховая Падь, квартал Литер, Благовещенск",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,14:00-18:00, 'wed': 09:00-13:00,14:00-18:00, 'thu': 09:00-13:00,14:00-18:00, 'fri': выходной, 'sat': 09:00-15:30, 'sun': выходной",C50.36563,127.61716,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-21 15:17:53
5,1070353910,СберБанк,"ул. 50 лет Октября, 26, Благовещенск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной",C50.26449,127.53425,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,83,85,76,,100,2024-06-21 15:17:53
6,64212383058,СберБанк,"ул. Ленина, 74, Благовещенск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной",C50.25601,127.55012,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,94,94,89,62,,2024-06-21 15:17:53
7,1048795874,СберБанк,"ул. Ломоносова, 223, Благовещенск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C50.27566,127.53117,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,70,74,61,,,2024-06-21 15:17:53
8,158021129761,СберБанк,"Северная ул., 59, Благовещенск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C50.27162,127.55867,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,89,92,94,,,2024-06-21 15:17:53
9,1128099099,СберБанк,"ул. Ленина, 193, Благовещенск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C50.26026,127.51264,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,86,85,67,64,,2024-06-21 15:17:53
10,201444685903,СберБанк,"ул. Ленина, 8, село Березовка",www.sberbank.ru,"'mon': 08:30-12:00,13:00-16:30, 'tue': 08:30-12:00,13:00-16:30, 'wed': 08:30-12:00,13:00-16:30, 'thu': 08:30-12:00,13:00-16:30, 'fri': 08:30-12:00,13:00-16:15, 'sat': выходной, 'sun': выходной",C50.57209,127.86474,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-21 15:17:53
11,1030009451,СберБанк,"Юбилейная ул., 9, село Садовое",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-13:15, 'wed': 08:00-13:15, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",C50.15937,127.87307,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-21 15:17:53
