,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,Кредит,Ипотека,График работы,load_time
0,1093251025,СберБанк,"Ленинский просп., 174П, Воронеж",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:00, 'sun': выходной",51.696517,39.273953,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",71,70,71,57,77,,,,,,2024-06-21 17:28:22
1,135006317161,СберБанк,"Кольцовская ул., 46, Воронеж",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:30, 'sun': 10:00-14:00",51.669573,39.193075,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sber']",64,64,69,58,48,93,79,43,69,64,2024-06-21 17:28:22
2,105979065488,СберБанк,"Ленинский просп., 39, Воронеж",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной",51.644690,39.237832,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,79,83,68,85,,98,45,76,81,2024-06-21 17:28:22
3,107329212376,СберБанк,"ул. Остужева, 5А, Воронеж",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-13:00, 'sun': выходной",51.688057,39.257476,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",71,66,75,62,59,,94,,,,2024-06-21 17:28:22
4,75415779240,СберБанк,"ул. Ленина, 272, село Новая Усмань",www.sberbank.ru,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:30, 'sat': 08:30-14:00, 'sun': выходной",51.643452,39.411957,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",70,69,70,73,54,,,,,,2024-06-21 17:28:22
5,29843959867,СберБанк,"Московский просп., 129/1, Воронеж",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-17:00, 'sun': выходной",51.718185,39.177221,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,73,78,54,60,,96,,,,2024-06-21 17:28:22
6,1143148390,СберБанк,"Ленинский просп., 117, Воронеж",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:30-14:30, 'sun': выходной",51.671686,39.251798,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://vk.com/sber']",79,79,80,62,86,,93,,,,2024-06-21 17:28:22
7,1107031985,СберБанк,"ул. Богдана Хмельницкого, 40, Воронеж",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:00, 'sun': выходной",51.719847,39.271263,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,79,81,73,66,,95,,,73,2024-06-21 17:28:22
8,60394762980,СберБанк,"Советская ул., 32В, посёлок Отрадное",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.668976,39.344610,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,,,2024-06-21 17:28:22
9,21634042236,СберБанк,"просп. Революции, 35, Воронеж",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.667624,39.207375,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sber']",81,80,78,80,87,,100,,,,2024-06-21 17:28:22
