,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,1302733702,СберБанк,"ул. Шейха Али Митаева, 12, Грозный",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-15:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-17:00, 'sun': выходной",43.324295,45.695753,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",70,70,72,39,70,95,2024-06-21 18:22:44
1,1616285285,СберБанк,"просп. В.В. Путина, 1/82, Грозный",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.324537,45.680365,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,64,63,46,50,,2024-06-21 18:22:44
2,80726848900,СберБанк,"ул. Вахи Алиева, 88Б, Грозный",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.341076,45.660261,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,70,82,59,,,2024-06-21 18:22:44
3,1601749340,СберБанк,"ул. Дьякова, 21, Грозный",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",43.321144,45.733771,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,83,84,69,73,100,2024-06-21 18:22:44
4,165432749409,СберБанк,"просп. Ахмат-Хаджи Абдулхамидовича Кадырова, 37, Грозный",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",43.309583,45.701772,"2,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-21 18:22:44
5,1639795072,СберБанк,"ул. А.А. Айдамирова, 200, Грозный",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.348401,45.693066,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,95,90,50,,,2024-06-21 18:22:44
6,169702763770,СберБанк,"ул. А.А. Кадырова, 119, Шали",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.151662,45.901943,"3,8",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-06-21 18:22:44
7,1651204832,СберБанк,"Каланчакская ул., 33, Урус-Мартан",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.126918,45.542737,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,73,91,9,,,2024-06-21 18:22:44
8,82799828973,СберБанк,"Шоссейная ул., 110А, Аргун",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.292377,45.865742,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,82,77,,,,2024-06-21 18:22:44
9,24890934517,СберБанк,"Почтовая ул., 3, Ачхой-Мартан",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",43.195167,45.281967,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-21 18:22:44
